matricola,voto
ID091794,19,nota:MATEMATICA PER LE SCELTE ECONOMICO-FINANZIARIE [4S00257]
VR091814,20
VR359342,18
VR369219,non raggiunge la sufficienza
VR369310,non raggiunge la sufficienza
VR370609,18
VR372660,18
VR376659,18
VR376734,23
VR377197,18
VR377850,19
VR380119,20
VR380476,19
VR380953,non raggiunge la sufficienza
VR381570,18
VR382079,23
